skill_abr,skill_name
art,artcreative
dsgn,design
advr,advertising
prdm,product management
dist,distribution
edu,education
trng,training
prjm,project management
cnsl,consulting
prch,purchasing
supl,supply chain
anls,analyst
hcpr,health care provider
rsch,research
sci,science
genb,general business
cust,customer service
stra,strategyplanning
fin,finance
othr,other
lgl,legal
eng,engineering
qa,quality assurance
bd,business development
it,information technology
adm,administrative
prod,production
mrkt,marketing
pr,public relations
wrt,writingediting
acct,accountingauditing
hr,human resources
mnfc,manufacturing
sale,sales
mgmt,management
